Subject Name:D:\adrian0706nast.txt
File Created: 08.06.2016 00:10:17 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
39,908	Moved	491	535
39,914	Moved	491	537
39,922	Moved	492	541
39,93	Moved	493	543
39,938	Moved	494	546
39,946	Moved	495	550
39,955	Moved	496	553
39,963	Moved	499	556
39,971	Moved	501	561
39,979	Moved	505	565
39,987	Moved	506	569
39,995	Moved	507	574
40,003	Moved	508	579
40,011	Moved	509	582
40,019	Moved	510	584
40,025	Moved	511	587
40,033	Moved	512	588
40,041	Moved	513	589
40,049	Moved	514	590
40,057	Moved	515	591
40,065	Moved	516	592
40,073	Moved	519	593
40,081	Moved	520	594
40,089	Moved	520	595
40,097	Moved	520	596
40,166	Moved	520	597
40,174	Moved	520	598
40,182	Moved	520	599
40,19	Moved	519	599
40,198	Moved	516	599
40,206	Moved	515	599
40,214	Moved	514	597
40,222	Moved	513	594
40,23	Moved	512	592
40,236	Moved	511	590
40,244	Moved	511	588
40,253	Moved	510	587
40,261	Moved	509	585
40,268	Moved	509	583
40,276	Moved	509	582
40,284	Moved	508	580
40,292	Moved	508	577
40,3	Moved	508	575
40,308	Moved	508	574
40,316	Moved	508	573
40,324	Moved	508	572
40,332	Moved	508	571
40,338	Moved	508	569
40,346	Moved	508	568
40,363	Moved	508	567
40,371	Moved	508	566
40,379	Moved	508	565
40,387	Moved	508	562
40,395	Moved	508	558
40,403	Moved	508	555
40,411	Moved	507	552
40,419	Moved	507	550
40,427	Moved	507	549
40,435	Moved	507	548
40,443	Moved	507	547
40,449	Moved	507	546
40,473	Moved	507	545
40,545	Moved	507	544
40,551	Moved	509	546
40,561	Moved	513	550
40,567	Moved	517	555
40,575	Moved	521	560
40,583	Moved	525	569
40,591	Moved	529	575
40,599	Moved	533	581
40,607	Moved	537	589
40,615	Moved	541	598
40,623	Moved	545	606
40,631	Moved	548	614
40,639	Moved	552	620
40,647	Moved	556	627
40,653	Moved	557	631
40,663	Moved	558	637
40,668	Moved	559	640
40,676	Moved	559	642
40,684	Moved	559	644
40,692	Moved	559	645
40,7	Moved	559	646
40,708	Moved	559	647
40,716	Moved	559	648
40,724	Moved	559	650
40,732	Moved	558	653
40,74	Moved	558	655
40,749	Moved	557	657
40,757	Moved	556	658
40,763	Moved	555	659
40,921	Moved	555	660
40,929	Moved	556	655
40,937	Moved	562	648
40,944	Moved	567	641
40,953	Moved	575	634
40,961	Moved	585	624
40,969	Moved	599	614
40,975	Moved	615	602
40,983	Moved	640	590
40,991	Moved	675	584
40,999	Moved	715	582
41,007	Moved	756	580
41,015	Moved	800	580
41,023	Moved	840	580
41,031	Moved	884	578
41,039	Moved	928	571
41,047	Moved	976	561
41,055	Moved	1023	548
41,063	Moved	1062	544
41,07	Moved	1099	542
41,078	Moved	1130	543
41,084	Moved	1149	549
41,092	Moved	1161	554
41,1	Moved	1163	556
41,108	Moved	1163	560
41,116	Moved	1162	561
41,297	Moved	1159	562
41,305	Moved	1161	562
41,313	Moved	1166	562
41,321	Moved	1174	565
41,329	Moved	1181	570
41,337	Moved	1187	574
41,345	Moved	1194	578
41,353	Moved	1202	582
41,361	Moved	1212	588
41,369	Moved	1231	597
41,376	Moved	1257	609
41,384	Moved	1284	621
41,39	Moved	1312	636
41,4	Moved	1346	648
41,406	Moved	1378	660
41,414	Moved	1408	673
41,422	Moved	1434	683
41,43	Moved	1453	689
41,438	Moved	1468	696
41,447	Moved	1477	702
41,455	Moved	1482	705
41,501	Moved	1483	706
41,511	Moved	1482	706
41,525	Moved	1481	706
41,541	Moved	1480	706
41,549	Moved	1479	706
41,557	Moved	1478	706
41,573	Moved	1477	706
41,597	Moved	1476	706
41,643	Moved	1475	706
41,667	Moved	1474	706
46,99	Moved	1474	705
46,998	Moved	1473	705
47,006	Moved	1472	704
47,018	Moved	1471	704
47,022	Moved	1470	704
47,98	Moved	1469	704
47,988	Moved	1467	706
47,997	Moved	1466	709
48,005	Moved	1465	712
48,013	Moved	1464	716
48,021	Moved	1463	719
48,029	Moved	1463	722
48,037	Moved	1463	726
48,043	Moved	1462	729
48,051	Moved	1462	731
48,059	Moved	1462	733
48,067	Moved	1462	734
48,075	Moved	1461	735
48,09	Moved	1461	736
49,178	Pressed Left	1461	737
49,684	Moved	1461	737
49,692	Moved	1460	737
49,7	Moved	1454	737
49,708	Moved	1449	736
49,716	Moved	1444	735
49,724	Moved	1439	734
49,732	Moved	1435	732
49,74	Moved	1430	731
49,748	Moved	1424	730
49,754	Moved	1415	730
49,762	Moved	1406	730
49,771	Moved	1397	730
49,779	Moved	1384	728
49,787	Moved	1369	728
49,795	Moved	1342	728
49,803	Moved	1312	729
49,811	Moved	1281	731
49,819	Moved	1253	733
49,827	Moved	1224	733
49,835	Moved	1192	732
49,843	Moved	1154	730
49,851	Moved	1117	728
49,857	Moved	1078	728
49,865	Moved	1040	726
49,873	Moved	1007	727
49,881	Moved	978	733
49,889	Moved	950	735
49,897	Moved	922	737
49,905	Moved	893	739
49,913	Moved	867	739
49,921	Moved	845	741
49,929	Moved	829	743
49,937	Moved	819	746
49,945	Moved	814	750
49,953	Moved	810	753
49,961	Moved	808	757
50,149	Moved	807	760
50,157	Moved	807	759
50,165	Moved	807	756
50,173	Moved	807	751
50,21	Moved	808	748
50,219	Moved	808	751
50,226	Moved	807	758
50,234	Moved	807	760
50,242	Moved	807	762
52,16	Moved	806	763
52,181	Moved	806	764
52,181	Moved	811	768
52,197	Moved	813	771
52,197	Moved	814	773
52,213	Moved	815	775
52,213	Moved	816	776
52,229	Moved	817	777
52,229	Moved	818	778
52,244	Moved	818	779
58,244	Moved	818	780
58,26	Moved	815	754
58,268	Moved	813	735
58,275	Moved	811	719
58,283	Moved	809	704
58,291	Moved	808	691
58,299	Moved	806	678
58,307	Moved	805	670
58,315	Moved	803	661
58,323	Moved	803	657
58,331	Moved	803	652
58,339	Moved	803	648
58,347	Moved	803	645
58,355	Moved	803	639
58,363	Moved	802	633
58,371	Moved	802	628
58,377	Moved	801	623
58,385	Moved	801	620
58,393	Moved	801	616
58,401	Moved	801	614
58,409	Moved	800	613
58,417	Moved	800	611
58,425	Moved	800	610
58,433	Moved	800	609
58,441	Moved	800	607
58,449	Moved	800	605
58,457	Moved	801	603
58,465	Moved	802	599
58,473	Moved	803	597
58,479	Moved	805	595
58,487	Moved	808	591
58,495	Moved	810	588
58,503	Moved	812	584
58,511	Moved	816	582
58,519	Moved	819	579
58,527	Moved	823	575
58,535	Moved	826	572
58,543	Moved	830	568
58,551	Moved	833	564
58,559	Moved	837	561
58,567	Moved	841	557
58,575	Moved	846	554
58,581	Moved	849	550
58,59	Moved	854	547
58,596	Moved	858	544
58,605	Moved	863	541
58,612	Moved	868	539
58,62	Moved	874	536
58,628	Moved	880	535
58,636	Moved	889	534
58,644	Moved	895	533
58,652	Moved	901	531
58,66	Moved	906	530
58,668	Moved	911	529
58,677	Moved	915	529
58,685	Moved	916	528
58,785	Moved	917	528
58,794	Moved	916	528
58,8	Moved	906	526
58,808	Moved	888	524
58,816	Moved	869	523
58,824	Moved	845	523
58,832	Moved	818	523
58,84	Moved	796	524
58,848	Moved	770	524
58,856	Moved	746	523
58,864	Moved	724	521
58,873	Moved	705	519
58,881	Moved	690	519
58,889	Moved	681	517
58,897	Moved	673	517
58,905	Moved	670	517
58,927	Pressed Left	669	516
59,163	Moved	669	516
59,17	Moved	669	528
59,179	Moved	671	547
59,187	Moved	675	569
59,195	Moved	679	593
59,203	Moved	681	622
59,211	Moved	683	648
59,219	Moved	685	678
59,224	Moved	691	711
59,232	Moved	694	745
59,24	Moved	700	771
59,248	Moved	702	793
59,256	Moved	704	812
59,264	Moved	704	825
59,273	Moved	704	835
59,281	Moved	704	840
59,288	Moved	705	845
59,296	Moved	705	848
59,306	Moved	705	851
59,312	Moved	705	852
59,477	Moved	705	853
59,485	Moved	702	853
59,493	Moved	699	853
59,656	Moved	697	853
59,673	Moved	698	854
59,681	Moved	699	854
59,704	Moved	700	854
59,714	Moved	700	853
59,72	Moved	700	852
59,728	Moved	700	851
59,736	Moved	700	850
59,744	Moved	700	849
59,75	Moved	700	848
59,76	Moved	700	847
59,803	Moved	700	846
59,838	Moved	700	845
59,854	Moved	700	844
59,86	Moved	700	841
59,868	Moved	698	838
59,877	Moved	697	834
59,885	Moved	696	833
59,893	Moved	695	831
59,901	Moved	694	830
59,909	Moved	693	827
59,917	Moved	692	823
59,925	Moved	691	821
59,933	Moved	690	819
59,941	Moved	689	817
59,949	Moved	688	816
59,957	Moved	688	815
60,3	Moved	687	815
60,308	Moved	687	812
60,316	Moved	687	807
60,324	Moved	688	803
60,333	Moved	688	802
60,349	Moved	688	801
60,373	Moved	688	800
60,381	Moved	687	800
60,389	Moved	684	801
60,395	Moved	682	802
60,536	Moved	679	803
60,544	Moved	680	803
60,552	Moved	681	803
60,56	Moved	682	803
60,568	Moved	683	802
60,577	Moved	684	801
60,585	Moved	684	800
60,708	Moved	684	799
60,758	Moved	684	798
60,781	Moved	684	797
60,789	Moved	684	796
61,063	Moved	683	795
61,079	Moved	683	794
61,087	Moved	682	792
61,094	Moved	681	790
61,102	Moved	680	789
61,11	Moved	679	787
61,118	Moved	678	783
61,126	Moved	677	782
61,134	Moved	677	781
61,142	Moved	676	780
61,148	Moved	675	779
61,164	Moved	675	778
63,065	Moved	675	777
63,073	Moved	675	784
63,081	Moved	678	793
63,089	Moved	679	797
63,097	Moved	681	802
65,774	Moved	681	803
65,783	Moved	681	801
65,791	Moved	680	779
65,798	Moved	676	755
65,806	Moved	670	739
65,814	Moved	669	726
65,82	Moved	667	718
65,829	Moved	666	708
